"","ID","Block","ssd","condition","response","rt","img","Age","Sex"
"1",111,1,500,100,1,0,"Neutral",24,"female"
"2",111,1,300,200,1,1105,"Neutral",24,"female"
"3",111,1,200,200,1,1032,"Neutral",24,"female"
"4",111,1,300,200,1,998,"Neutral",24,"female"
"5",111,1,500,200,1,675,"Neutral",24,"female"
"6",111,1,200,200,1,880,"Neutral",24,"female"
"7",111,1,600,100,0,991,"Neutral",24,"female"
"8",111,1,400,200,1,992,"Neutral",24,"female"
"9",111,1,600,100,0,862,"Neutral",24,"female"
"10",111,1,200,200,1,916,"Neutral",24,"female"
"11",111,1,500,100,0,542,"Neutral",24,"female"
"12",111,1,600,200,1,490,"Neutral",24,"female"
"13",111,1,400,100,1,0,"Neutral",24,"female"
"14",111,1,400,200,1,951,"Neutral",24,"female"
"15",111,1,300,200,1,1008,"Neutral",24,"female"
"16",111,1,600,200,1,1039,"Neutral",24,"female"
"17",111,1,300,200,1,1185,"Neutral",24,"female"
"18",111,1,300,200,1,1009,"Neutral",24,"female"
"19",111,1,600,200,1,1044,"Neutral",24,"female"
"20",111,1,300,200,1,1030,"Neutral",24,"female"
"21",111,1,400,200,1,1105,"Neutral",24,"female"
"22",111,1,300,100,1,0,"Neutral",24,"female"
"23",111,1,500,100,1,0,"Neutral",24,"female"
"24",111,1,200,200,1,1051,"Neutral",24,"female"
"25",111,1,200,200,1,1091,"Neutral",24,"female"
"26",111,1,200,200,1,992,"Neutral",24,"female"
"27",111,1,200,200,1,1039,"Neutral",24,"female"
"28",111,1,500,200,1,1013,"Neutral",24,"female"
"29",111,1,400,100,1,0,"Neutral",24,"female"
"30",111,1,300,100,1,0,"Neutral",24,"female"
"31",111,1,200,200,1,971,"Neutral",24,"female"
"32",111,1,300,200,1,1177,"Neutral",24,"female"
"33",111,1,600,200,0,0,"Neutral",24,"female"
"34",111,1,600,200,1,1023,"Neutral",24,"female"
"35",111,1,600,200,1,1079,"Neutral",24,"female"
"36",111,1,400,200,1,1147,"Neutral",24,"female"
"37",111,1,200,200,1,1043,"Neutral",24,"female"
"38",111,1,200,100,1,0,"Neutral",24,"female"
"39",111,1,300,200,1,1055,"Neutral",24,"female"
"40",111,1,300,200,1,985,"Neutral",24,"female"
"41",111,1,600,100,0,1014,"Neutral",24,"female"
"42",111,1,600,200,1,1148,"Neutral",24,"female"
"43",111,1,500,200,1,869,"Neutral",24,"female"
"44",111,1,600,200,1,892,"Neutral",24,"female"
"45",111,1,400,200,1,1089,"Neutral",24,"female"
"46",111,1,300,100,1,0,"Neutral",24,"female"
"47",111,1,700,200,1,961,"Neutral",24,"female"
"48",111,1,300,200,1,1096,"Neutral",24,"female"
"49",111,1,600,200,1,1039,"Neutral",24,"female"
"50",111,1,700,200,1,818,"Neutral",24,"female"
"51",111,1,600,100,0,975,"Neutral",24,"female"
"52",111,1,500,200,0,0,"Neutral",24,"female"
"53",111,1,700,200,1,1054,"Neutral",24,"female"
"54",111,1,700,200,1,1051,"Neutral",24,"female"
"55",111,1,500,200,1,1214,"Neutral",24,"female"
"56",111,1,500,200,1,1126,"Neutral",24,"female"
"57",111,1,300,200,1,954,"Neutral",24,"female"
"58",111,1,700,200,1,1148,"Neutral",24,"female"
"59",111,1,600,200,1,984,"Neutral",24,"female"
"60",111,1,400,100,1,0,"Neutral",24,"female"
"61",111,1,600,200,1,996,"Neutral",24,"female"
"62",111,1,300,200,1,1140,"Neutral",24,"female"
"63",111,1,600,200,1,1148,"Neutral",24,"female"
"64",111,1,300,100,1,0,"Neutral",24,"female"
"65",111,1,300,200,1,822,"Neutral",24,"female"
"66",111,1,400,100,0,1032,"Neutral",24,"female"
"67",111,1,700,100,1,0,"Neutral",24,"female"
"68",111,1,700,200,1,475,"Neutral",24,"female"
"69",111,1,400,100,1,0,"Neutral",24,"female"
"70",111,1,400,100,1,0,"Neutral",24,"female"
"71",111,1,600,200,1,986,"Neutral",24,"female"
"72",111,1,700,100,0,1080,"Neutral",24,"female"
"73",111,1,400,200,1,1013,"Neutral",24,"female"
"74",111,1,700,100,0,1031,"Neutral",24,"female"
"75",111,1,500,200,1,1225,"Neutral",24,"female"
"76",111,1,600,200,1,1085,"Neutral",24,"female"
"77",111,1,400,200,1,1047,"Neutral",24,"female"
"78",111,1,300,200,1,1204,"Neutral",24,"female"
"79",111,1,300,100,1,0,"Neutral",24,"female"
"80",111,1,400,100,0,982,"Neutral",24,"female"
"81",111,1,400,200,1,1147,"Neutral",24,"female"
"82",111,1,400,200,1,1161,"Neutral",24,"female"
"83",111,1,400,100,1,0,"Neutral",24,"female"
"84",111,1,400,100,1,0,"Neutral",24,"female"
"85",111,1,800,200,1,1098,"Neutral",24,"female"
"86",111,1,500,100,1,0,"Neutral",24,"female"
"87",111,1,700,100,0,1009,"Neutral",24,"female"
"88",111,1,600,200,1,977,"Neutral",24,"female"
"89",111,1,600,200,1,1071,"Neutral",24,"female"
"90",111,1,600,100,0,953,"Neutral",24,"female"
"91",111,1,500,100,0,766,"Neutral",24,"female"
"92",111,1,800,200,0,0,"Neutral",24,"female"
"93",111,1,500,200,1,872,"Neutral",24,"female"
"94",111,1,800,100,0,1252,"Neutral",24,"female"
"95",111,1,700,200,0,0,"Neutral",24,"female"
"96",111,1,400,200,1,827,"Neutral",24,"female"
"97",111,1,800,100,0,675,"Neutral",24,"female"
"98",111,1,800,200,1,1100,"Neutral",24,"female"
"99",111,1,400,200,1,947,"Neutral",24,"female"
"100",111,1,600,200,1,1084,"Neutral",24,"female"
"101",111,1,600,200,1,919,"Neutral",24,"female"
"102",111,1,800,200,1,1016,"Neutral",24,"female"
"103",111,1,500,200,1,876,"Neutral",24,"female"
"104",111,1,800,200,1,888,"Neutral",24,"female"
"105",111,1,700,100,0,982,"Neutral",24,"female"
"106",111,1,700,100,0,967,"Neutral",24,"female"
"107",111,1,800,200,1,1095,"Neutral",24,"female"
"108",111,1,600,200,1,956,"Neutral",24,"female"
"109",111,1,800,100,0,1250,"Neutral",24,"female"
"110",111,1,700,200,1,1139,"Neutral",24,"female"
"111",111,1,400,100,1,0,"Neutral",24,"female"
"112",111,1,600,200,1,458,"Neutral",24,"female"
"113",111,1,800,100,0,1139,"Neutral",24,"female"
"114",111,1,500,200,1,1103,"Neutral",24,"female"
"115",111,1,700,200,1,1009,"Neutral",24,"female"
"116",111,1,400,200,1,927,"Neutral",24,"female"
"117",111,1,700,200,1,1148,"Neutral",24,"female"
"118",111,1,600,200,1,1035,"Neutral",24,"female"
"119",111,1,500,200,1,925,"Neutral",24,"female"
"120",111,1,800,200,1,804,"Neutral",24,"female"
